"Employee ID","DOB","DOJ","age_emp","exp_emp","Department_ID"
"IU196557","2/23/1983","10/31/2009","41","13","IDEPT4938"
"IU449901","9/2/1985","6/7/2009","39","15","IDEPT2357"
"IU206427","7/30/1971","5/9/2008","53","16","IDEPT4670"
"IU688905","7/20/1973","1/17/2002","51","22","IDEPT2601"
"IU634582","11/16/1991","2/13/2000","32","24","IDEPT7626"
"IU138624","5/18/1979","9/27/2006","45","18","IDEPT3778"
"IU932068","7/12/1985","5/4/2013","39","11","IDEPT4132"
"IU572796","1/14/1978","1/3/2008","46","16","IDEPT1142"
"IU134670","12/15/1980","1/15/2002","43","22","IDEPT7626"
"IU393717","4/3/1973","8/18/2009","51","15","IDEPT1825"
"IU175125","7/13/1985","10/17/2001","39","23","IDEPT1615"
"IU232618","2/12/1979","2/3/2012","45","12","IDEPT2601"
"IU760609","4/20/1983","1/1/2006","41","18","IDEPT1537"
"IU508242","4/5/1988","8/12/1999","36","25","IDEPT5109"
"IU240338","3/21/1994","2/16/2011","30","13","IDEPT5881"
"IU826824","5/22/1988","9/23/2007","36","17","IDEPT8313"
"IU544227","11/5/1990","8/15/2008","33","16","IDEPT5127"
"IU817422","7/7/1990","4/17/2006","34","18","IDEPT3778"
"IU917848","8/14/1976","8/12/2002","48","22","IDEPT2357"
"IU635586","4/28/1991","7/27/2004","33","20","IDEPT6347"
"IU423398","6/24/1990","6/9/2006","34","18","IDEPT4938"
"IU846275","9/9/1974","8/21/2008","50","16","IDEPT1615"
"IU509287","10/6/1975","11/16/2009","49","14","IDEPT1615"
"IU168857","3/22/1992","5/10/2001","32","23","IDEPT5109"
"IU125595","9/4/1992","7/9/2006","32","18","IDEPT1367"
"IU423522","7/10/1977","1/16/2006","47","18","IDEPT5109"
"IU937233","6/18/1992","6/21/2010","32","14","IDEPT5881"
"IU710285","10/25/1970","4/7/2011","52","13","IDEPT3115"
"IU951593","11/24/1991","4/11/2007","32","17","IDEPT6347"
"IU740065","4/20/1990","11/22/1999","34","24","IDEPT1423"
"IU306793","12/16/1976","2/5/2008","47","16","IDEPT1378"
"IU364794","7/10/1994","3/2/2012","30","12","IDEPT7626"
"IU877470","11/10/1991","7/31/2005","32","19","IDEPT4938"
"IU486705","2/13/1983","9/12/2001","41","23","IDEPT1825"
"IU511664","7/29/1987","7/24/2006","37","18","IDEPT1825"
"IU860113","7/26/1971","3/20/2005","53","19","IDEPT3062"
"IU271785","1/24/1970","4/12/2006","54","18","IDEPT1533"
"IU357968","5/17/1974","10/31/2012","50","10","IDEPT5528"
"IU469799","3/29/1984","6/22/2014","40","10","IDEPT8313"
"IU508314","3/20/1974","3/3/2000","50","24","IDEPT6347"
"IU940853","10/13/1983","7/30/1999","41","25","IDEPT2601"
"IU736890","12/25/1978","8/27/2010","45","14","IDEPT3778"
"IU271820","6/7/1983","9/16/2005","41","19","IDEPT1615"
"IU861380","1/15/1985","11/29/2000","39","23","IDEPT1378"
"IU782822","5/5/1974","12/1/2006","50","17","IDEPT3778"
"IU369893","5/4/1971","6/28/2002","53","22","IDEPT5109"
"IU430546","4/12/1993","11/6/2011","31","12","IDEPT2601"
"IU472467","11/13/1988","6/20/2013","35","11","IDEPT1378"
"IU904131","9/18/1980","4/3/2010","44","14","IDEPT2601"
"IU201506","9/24/1986","12/2/2006","38","17","IDEPT5127"
"IU572132","11/7/1973","5/14/2011","50","13","IDEPT4055"
"IU538421","3/28/1975","3/15/2013","49","11","IDEPT1615"
"IU353908","2/20/1987","9/11/2005","37","19","IDEPT2601"
"IU372096","2/23/1976","2/3/2012","48","12","IDEPT1615"
"IU473584","4/29/1983","6/1/2014","41","10","IDEPT7783"
"IU754974","10/5/1976","2/25/2010","48","14","IDEPT5109"
"IU242634","6/20/1984","2/23/2007","40","17","IDEPT3868"
"IU624640","10/28/1987","7/12/2014","35","10","IDEPT5881"
"IU987884","10/24/1971","11/18/2004","51","19","IDEPT2357"
"IU516465","5/15/1984","1/6/2006","40","18","IDEPT6347"
"IU246736","12/26/1972","2/8/2007","51","17","IDEPT7626"
"IU454493","8/19/1988","9/28/2002","36","22","IDEPT1142"
"IU500587","11/30/1979","3/13/2008","44","16","IDEPT2425"
"IU325868","6/15/1976","5/15/2000","48","24","IDEPT1388"
"IU616644","7/5/1973","2/19/2007","51","17","IDEPT1423"
"IU639998","4/20/1994","3/9/2004","30","20","IDEPT3115"
"IU410413","11/12/1983","2/7/2006","40","18","IDEPT4132"
"IU114595","8/20/1986","11/13/2001","38","22","IDEPT4055"
"IU476789","3/12/1993","6/16/2009","31","15","IDEPT7783"
"IU438123","1/23/1975","2/28/2011","49","13","IDEPT1378"
"IU183626","11/1/1975","11/15/2006","48","17","IDEPT5881"
"IU934207","9/8/1971","10/4/2013","53","11","IDEPT5127"
"IU582877","7/7/1970","10/5/2005","54","19","IDEPT1615"
"IU815641","9/16/1990","2/2/2010","34","14","IDEPT1825"
"IU200937","12/15/1970","9/26/2007","53","17","IDEPT6347"
"IU703247","10/13/1985","8/29/2009","39","15","IDEPT5127"
"IU184260","12/8/1970","12/12/2004","53","19","IDEPT4670"
"IU843331","2/13/1982","5/28/2011","42","13","IDEPT4938"
"IU886140","8/12/1982","1/29/2013","42","11","IDEPT1677"
"IU760362","2/14/1980","7/8/2006","44","18","IDEPT1537"
"IU766698","9/7/1982","9/21/2003","42","21","IDEPT6347"
"IU633596","1/11/1981","8/11/2011","43","13","IDEPT8379"
"IU133163","9/29/1989","4/24/2009","35","15","IDEPT5408"
"IU410918","9/8/1985","6/9/2009","39","15","IDEPT8598"
"IU418420","5/13/1978","1/31/2001","46","23","IDEPT1423"
"IU996025","6/20/1991","10/3/2008","33","16","IDEPT1142"
"IU784101","1/26/1982","4/27/2011","42","13","IDEPT1537"
"IU480856","6/10/1991","6/6/2010","33","14","IDEPT4938"
"IU507184","6/26/1986","4/25/2012","38","12","IDEPT7783"
"IU803872","4/11/1975","4/28/2011","49","13","IDEPT4132"
"IU795236","12/17/1991","5/15/2008","32","16","IDEPT6347"
"IU632540","8/15/1981","6/17/2009","43","15","IDEPT1423"
"IU672641","10/23/1975","5/17/2008","47","16","IDEPT1537"
"IU280941","8/20/1969","5/14/2014","55","10","IDEPT5109"
"IU573089","6/27/1976","6/14/2001","48","23","IDEPT1367"
"IU476100","12/13/1976","4/9/2007","47","17","IDEPT7626"
"IU169365","2/18/1982","7/22/2008","42","16","IDEPT3868"
"IU333324","2/2/1986","7/23/2000","38","24","IDEPT7005"
"IU573623","12/12/1986","12/4/2003","37","20","IDEPT5528"
"IU263609","1/17/1985","12/14/1999","39","24","IDEPT8598"
"IU799085","9/2/1977","5/13/2014","47","10","IDEPT2425"
"IU464114","11/30/1972","5/27/2003","51","21","IDEPT1378"
"IU282074","8/19/1976","8/14/2008","48","16","IDEPT1537"
"IU300723","10/16/1985","7/31/2001","39","23","IDEPT4670"
"IU311031","6/4/1970","1/20/2004","54","20","IDEPT4132"
"IU976665","11/9/1985","4/24/2002","38","22","IDEPT1367"
"IU796590","1/1/1992","3/3/2012","32","12","IDEPT5408"
"IU160380","10/6/1985","11/17/2002","39","21","IDEPT4938"
"IU124164","6/8/1971","8/16/2004","53","20","IDEPT4938"
"IU293826","11/19/1982","10/24/2007","41","15","IDEPT1615"
"IU602414","12/18/1978","9/4/2006","45","18","IDEPT2601"
"IU797991","10/14/1990","9/13/2001","34","23","IDEPT8313"
"IU718477","7/11/1994","12/24/2005","30","18","IDEPT3115"
"IU177035","2/13/1983","4/30/2011","41","13","IDEPT8379"
"IU340320","11/14/1978","12/17/2013","45","10","IDEPT4670"
"IU603759","7/18/1979","5/24/2004","45","20","IDEPT1388"
"IU352216","1/27/1979","6/18/2007","45","17","IDEPT1825"
"IU780361","10/16/1989","7/29/2005","35","19","IDEPT2054"
"IU595413","3/23/1990","11/7/2012","34","11","IDEPT5109"
"IU209624","11/5/1983","2/17/2006","40","18","IDEPT2425"
"IU885411","1/12/1985","6/20/2007","39","17","IDEPT4670"
"IU238192","7/2/1991","8/17/2008","33","16","IDEPT7626"
"IU326182","9/14/1976","3/18/2011","48","13","IDEPT1423"
"IU995116","6/30/1975","10/26/1999","49","23","IDEPT8598"
"IU976864","4/2/1973","5/17/2002","51","22","IDEPT4132"
"IU908955","7/22/1970","3/24/2006","54","18","IDEPT8313"
"IU843323","9/18/1971","2/19/2000","53","24","IDEPT2054"
"IU870897","5/28/1978","3/1/2004","46","20","IDEPT5127"
"IU216190","7/11/1970","11/3/2008","54","15","IDEPT3062"
"IU960771","2/17/1983","6/16/2002","41","22","IDEPT7626"
"IU167781","11/17/1989","4/1/2014","34","10","IDEPT8313"
"IU748850","2/19/1980","12/22/1999","44","24","IDEPT1378"
"IU680743","11/8/1973","6/8/2006","50","18","IDEPT4938"
"IU348664","8/30/1969","2/1/2002","55","22","IDEPT6347"
"IU300148","11/26/1990","1/14/2001","33","23","IDEPT1142"
"IU968470","7/27/1983","10/6/2010","41","14","IDEPT6347"
"IU338809","6/30/1991","4/22/2004","33","20","IDEPT1533"
"IU119855","2/16/1974","7/5/2013","50","11","IDEPT5109"
"IU171535","11/23/1972","10/13/2013","51","11","IDEPT1677"
"IU428631","11/27/1987","6/2/2001","36","23","IDEPT1825"
"IU674290","7/24/1983","3/29/2006","41","18","IDEPT1367"
"IU580499","12/8/1981","1/29/2011","42","13","IDEPT2054"
"IU486342","5/13/1994","10/11/2008","30","16","IDEPT7626"
"IU820511","12/24/1984","11/11/2010","39","13","IDEPT1367"
"IU407408","1/31/1973","10/19/2006","51","18","IDEPT4132"
"IU171891","4/15/1971","7/18/2003","53","21","IDEPT3115"
"IU275641","1/1/1978","1/15/2014","46","10","IDEPT4055"
